title,day_of_week
Unstrung Heroes,Friday
Unzipped,Friday
A Walk in the Clouds,Friday
Waterworld,Friday
White Man's Burden,Friday
Wild Bill,Friday
The Browning Version,Wednesday
Bushwhacked,Friday
Burnt by the Sun,Sunday
Before the Rain,Thursday
Before Sunrise,Friday
Billy Madison,Friday
The Babysitter,Tuesday
Boys on the Side,Friday
The Cure,Friday
Castle Freak,Friday
Circle of Friends,Thursday
Clerks,Tuesday
Don Juan DeMarco,Saturday
Disclosure,Friday
Dream Man,Sunday
Drop Zone,Thursday
Destiny Turns on the Radio,Friday
Death and the Maiden,Wednesday
Dolores Claiborne,Friday
Dumb and Dumber,Friday
Eat Drink Man Woman,Wednesday
Exotica,Saturday
Exit to Eden,Friday
Ed Wood,Tuesday
French Kiss,Friday
Forget Paris,Friday
Far from Home: The Adventures of Yellow Dog,Friday
A Goofy Movie,Friday
Hideaway,Friday
Fluke,Friday
Farinelli,Wednesday
Gordy,Friday
Gumby: The Movie,Friday
The Glass Shield,Friday
Hoop Dreams,Monday
Heavenly Creatures,Friday
Houseguest,Friday
Immortal Beloved,Friday
Heavyweights,Friday
The Hunted,Friday
I.Q.,Saturday
Interview with the Vampire,Friday
Jefferson in Paris,Friday
The Jerky Boys,Friday
Junior,Tuesday
Just Cause,Friday
A Kid in King Arthur's Court,Friday
Kiss of Death,Friday
Star Wars,Wednesday
Little Women,Wednesday
A Little Princess,Wednesday
Ladybird Ladybird,Friday
L'Enfer,Wednesday
Like Water for Chocolate,Thursday
Legends of the Fall,Friday
Major Payne,Friday
Little Odessa,Thursday
Mi Vida Loca,Wednesday
Love Affair,Friday
Losing Isaiah,Friday
The Madness of King George,Wednesday
Mary Shelley's Frankenstein,Friday
Man of the House,Friday
Mixed Nuts,Wednesday
Milk Money,Wednesday
Miracle on 34th Street,Friday
Miami Rhapsody,Friday
My Family,Wednesday
Murder in the First,Friday
Nobody's Fool,Friday
Nell,Friday
New Jersey Drive,Wednesday
New York Cop,Saturday
Beyond Bedlam,Friday
Nemesis 2 - Nebula,Tuesday
Nina Takes a Lover,Friday
Natural Born Killers,Thursday
Only You,Saturday
Once Were Warriors,Friday
Poison Ivy II: Lily,Tuesday
Outbreak,Friday
Leon: The Professional,Wednesday
The Perez Family,Friday
A Pyromaniac's Love Story,Friday
Pulp Fiction,Saturday
Panther,Friday
Pushing Hands,Saturday
Priest,Saturday
Quiz Show,Friday
Picture Bride,Friday
Queen Margot,Friday
The Quick and the Dead,Thursday
Roommates,Wednesday
Prêt-à-Porter,Friday
Three Colors: Red,Friday
Three Colors: Blue,Sunday
Three Colors: White,Wednesday
"Red Firecracker, Green Firecracker",Friday
Rent-a-Kid,Sunday
Relative Fear,Tuesday
Stuart Saves His Family,Wednesday
The Swan Princess,Friday
The Secret of Roan Inish,Saturday
The Specialist,Friday
Stargate,Thursday
The Santa Clause,Thursday
The Shawshank Redemption,Friday
Shallow Grave,Thursday
Suture,Tuesday
Strawberry and Chocolate,Friday
Swimming with Sharks,Saturday
The Sum of Us,Tuesday
Senior Trip,Friday
To Live,Thursday
Tank Girl,Friday
Tales from the Crypt: Demon Knight,Friday
Star Trek: Generations,Thursday
Tales from the Hood,Wednesday
Tom & Viv,Friday
Village of the Damned,Friday
Tommy Boy,Friday
Vanya on 42nd Street,Tuesday
The Underneath,Friday
The Walking Dead,Friday
What's Eating Gilbert Grape,Friday
Virtuosity,Friday
While You Were Sleeping,Friday
The War,Friday
Double Happiness,Wednesday
Muriel's Wedding,Thursday
The Baby-Sitters Club,Friday
Ace Ventura: Pet Detective,Friday
"The Adventures of Priscilla, Queen of the Desert",Tuesday
Backbeat,Friday
Bitter Moon,Wednesday
Bullets Over Broadway,Friday
Clear and Present Danger,Wednesday
The Client,Wednesday
"Corrina, Corrina",Friday
Crooklyn,Friday
The Crow,Wednesday
Cobb,Friday
The Flintstones,Thursday
Forrest Gump,Wednesday
Four Weddings and a Funeral,Wednesday
Higher Learning,Wednesday
I Like It Like That,Friday
I Love Trouble,Wednesday
It Could Happen to You,Friday
The Jungle Book,Friday
"The Wonderful, Horrible Life of Leni Riefenstahl",Saturday
The Lion King,Thursday
Little Buddha,Wednesday
New Nightmare,Thursday
The Mask,Friday
Maverick,Friday
Mrs. Parker and the Vicious Circle,Wednesday
The Naked Gun 33⅓: The Final Insult,Friday
The Paper,Friday
Reality Bites,Friday
Red Rock West,Thursday
Ri¢hie Ri¢h,Monday
Safe Passage,Thursday
The River Wild,Friday
Speed,Thursday
Speechless,Friday
Timecop,Thursday
True Lies,Thursday
When a Man Loves a Woman,Friday
Wolf,Friday
Wyatt Earp,Friday
Bad Company,Friday
A Man of No Importance,Thursday
S.F.W.,Thursday
A Low Down Dirty Shame,Wednesday
"Boys Life: Three Stories of Love, Lust, and Liberation",Friday
Colonel Chabert,Saturday
"Faster, Pussycat! Kill! Kill!",Friday
Jason's Lyric,Wednesday
The Secret Adventures of Tom Thumb,Friday
Street Fighter,Thursday
Coldblooded,Friday
Desert Winds,Wednesday
Fall Time,Saturday
The Fear,Friday
Frank and Ollie,Friday
Girl in the Cadillac,Tuesday
Homage,Wednesday
Mirage,Tuesday
Open Season,Friday
Dos Crímenes,Friday
Brother Minister: The Assassination of Malcolm X,Wednesday
Highlander: The Final Dimension,Tuesday
Federal Hill,Friday
In the Mouth of Madness,Monday
8 Seconds,Friday
Above the Rim,Wednesday
Addams Family Values,Friday
Martin Lawrence: You So Crazy,Wednesday
The Age of Innocence,Friday
Airheads,Friday
The Air Up There,Friday
Another Stakeout,Thursday
Bad Girls,Friday
Barcelona,Friday
Being Human,Friday
The Beverly Hillbillies,Friday
Beverly Hills Cop III,Tuesday
Black Beauty,Friday
Blink,Wednesday
Blown Away,Friday
Blue Chips,Friday
Blue Sky,Friday
Body Snatchers,Wednesday
Boxing Helena,Friday
A Bronx Tale,Tuesday
Cabin Boy,Friday
Calendar Girl,Friday
Carlito's Way,Wednesday
City Slickers II: The Legend of Curly's Gold,Friday
Clean Slate,Friday
Cliffhanger,Friday
Coneheads,Friday
Color of Night,Friday
Cops & Robbersons,Friday
The Cowboy Way,Friday
Dangerous Game,Friday
Dave,Friday
Dazed and Confused,Friday
Demolition Man,Friday
The Endless Summer 2,Friday
Even Cowgirls Get the Blues,Friday
Fatal Instinct,Friday
Farewell My Concubine,Thursday
The Favor,Friday
Fearless,Friday
Fear of a Black Hat,Friday
With Honors,Friday
Flesh and Bone,Friday
Widows' Peak,Friday
For Love or Money,Friday
The Firm,Wednesday
Free Willy,Friday
Fresh,Wednesday
The Fugitive,Friday
Geronimo: An American Legend,Friday
The Getaway,Friday
Getting Even with Dad,Friday
Go Fish,Friday
A Good Man in Africa,Thursday
Guilty as Sin,Friday
Hard Target,Friday
Heaven & Earth,Friday
Hot Shots! Part Deux,Friday
Live Nude Girls,Friday
The Englishman Who Went Up a Hill But Came Down a Mountain,Friday
The House of the Spirits,Tuesday
House Party 3,Saturday
The Hudsucker Proxy,Friday
I'll Do Anything,Friday
In the Army Now,Friday
In the Line of Fire,Thursday
In the Name of the Father,Sunday
The Inkwell,Friday
What's Love Got to Do with It,Wednesday
Jimmy Hollywood,Wednesday
Judgment Night,Friday
Jurassic Park,Friday
Kalifornia,Wednesday
Killing Zoe,Friday
King of the Hill,Friday
Lassie,Friday
Last Action Hero,Friday
Life With Mikey,Friday
Lightning Jack,Friday
M. Butterfly,Thursday
Made in America,Thursday
Malice,Wednesday
The Man without a Face,Wednesday
Manhattan Murder Mystery,Wednesday
Menace II Society,Wednesday
Executive Decision,Friday
In the Realm of the Senses,Saturday
What Happened Was...,Friday
Much Ado About Nothing,Friday
Mr. Jones,Friday
Mr. Wonderful,Friday
Mrs. Doubtfire,Wednesday
Naked,Tuesday
The Next Karate Kid,Monday
The New Age,Friday
No Escape,Friday
North,Friday
Orlando,Tuesday
A Perfect World,Wednesday
Philadelphia,Wednesday
The Piano,Wednesday
Poetic Justice,Friday
The Program,Friday
The Puppet Masters,Friday
Radioland Murders,Friday
The Ref,Wednesday
The Remains of the Day,Friday
Renaissance Man,Friday
Rising Sun,Friday
The Road to Wellville,Friday
RoboCop 3,Saturday
Robin Hood: Men in Tights,Wednesday
Romeo Is Bleeding,Monday
Romper Stomper,Thursday
Ruby in Paradise,Friday
Rudy,Friday
The Saint of Fort Washington,Wednesday
Savage Nights,Wednesday
Schindler's List,Monday
The Scout,Friday
Searching for Bobby Fischer,Friday
Second Best,Friday
The Secret Garden,Friday
Serial Mom,Wednesday
The Shadow,Friday
Shadowlands,Saturday
Short Cuts,Sunday
A Simple Twist of Fate,Friday
Sirens,Friday
Six Degrees of Separation,Wednesday
Sleepless in Seattle,Thursday
Sliver,Friday
Blade Runner,Friday
Son in Law,Friday
So I Married an Axe Murderer,Friday
Striking Distance,Friday
Harem,Wednesday
Super Mario Bros.,Friday
Surviving the Game,Friday
Terminal Velocity,Friday
Thirty Two Short Films About Glenn Gould,Friday
Threesome,Friday
The Nightmare Before Christmas,Saturday
The Three Musketeers,Thursday
Tombstone,Saturday
Trial by Jury,Friday
True Romance,Thursday
The War Room,Sunday
The Pagemaster,Wednesday
"Paris, France",Friday
"The Beans of Egypt, Maine",Saturday
Killer,Wednesday
Welcome to the Dollhouse,Wednesday
Germinal,Wednesday
Chasers,Friday
Cronos,Sunday
Naked in New York,Wednesday
Kika,Thursday
Bhaji on the Beach,Friday
Little Big League,Wednesday
The Slingshot,Friday
Wide Eyed and Legless,Sunday
Foreign Student,Friday
"Ciao, Professore!",Thursday
Spanking the Monkey,Saturday
The Little Rascals,Friday
À la mode,Friday
Andre,Wednesday
The Escort,Friday
Princess Caraboo,Friday
The Celluloid Closet,Tuesday
Café au Lait,Friday
Dear Diary,Tuesday
I Don't Want to Talk About It,Thursday
The Brady Bunch Movie,Thursday
Home Alone,Friday
Ghost,Thursday
Aladdin,Wednesday
Terminator 2: Judgment Day,Monday
Dances with Wolves,Friday
Tough and Deadly,Tuesday
Batman,Friday
The Silence of the Lambs,Friday
Snow White and the Seven Dwarfs,Monday
Beauty and the Beast,Wednesday
Pinocchio,Friday
Pretty Woman,Friday
Window to Paris,Wednesday
The Wild Bunch,Tuesday
Love and a .45,Wednesday
The Wooden Man's Bride,Saturday
A Great Day in Harlem,Tuesday
Bye Bye Love,Thursday
One Fine Day,Friday
Candyman: Farewell to the Flesh,Friday
Century,Friday
Fargo,Friday
Homeward Bound II: Lost in San Francisco,Friday
Heavy Metal,Friday
Hellraiser: Bloodline,Friday
The Pallbearer,Friday
Jane Eyre,Friday
Loaded,Friday
Bread and Chocolate,Sunday
The Aristocats,Wednesday
The Flower of My Secret,Friday
Two Much,Wednesday
Ed,Friday
Scream of Stone,Tuesday
My Favorite Season,Friday
A Modern Affair,Friday
Condition Red,Friday
Halfaouine: Boy of the Terraces,Monday
A Thin Line Between Love and Hate,Thursday
The Last Supper,Friday
Primal Fear,Wednesday
Rude,Friday
Carried Away,Friday
All Dogs Go to Heaven 2,Friday
Land and Freedom,Sunday
Denise Calls Up,Wednesday
Theodore Rex,Thursday
A Family Thing,Friday
Frisk,Friday
Sgt. Bilko,Friday
Jack & Sarah,Friday
Girl 6,Friday
Diabolique,Friday
"Little Indian, Big City",Wednesday
Roula,Monday
Peanuts – Die Bank zahlt alles,Thursday
Happy Weekend,Thursday
Nelly and Monsieur Arnaud,Friday
Courage Under Fire,Thursday
Mission: Impossible,Wednesday
Cold Fever,Friday
Moll Flanders,Friday
The Superwife,Wednesday
"301, 302",Saturday
DragonHeart,Friday
Und keiner weint mir nach,Thursday
My Mother's Courage,Tuesday
Eddie,Friday
Yankee Zulu,Wednesday
Billy's Holiday,Wednesday
Purple Noon,Thursday
August,Thursday
James and the Giant Peach,Friday
Fear,Friday
Kids in the Hall: Brain Candy,Tuesday
Faithful,Wednesday
Underground,Tuesday
All Things Fair,Wednesday
Bloodsport II,Friday
Pather Panchali,Friday
The World of Apu,Friday
Mystery Science Theater 3000: The Movie,Friday
Tarantella,Friday
Space Jam,Friday
Barbarella,Thursday
Hostile Intentions,Sunday
They Bite,Monday
Some Folks Call It a Sling Blade,Saturday
The Run of the Country,Friday
Alphaville,Wednesday
Coup de Torchon,Wednesday
Tigrero: A Film That Was Never Made,Saturday
The Eye of Vichy,Thursday
Windows,Friday
It's My Party,Friday
Country Life,Thursday
Operation Dumbo Drop,Friday
The Promise,Thursday
Mrs. Winterbourne,Friday
Solo,Wednesday
Under The Domim Tree,Saturday
The Substitute,Friday
True Crime,Tuesday
Butterfly Kiss,Friday
Feeling Minnesota,Friday
Delta of Venus,Friday
To Cross the Rubicon,Tuesday
Angus,Friday
Priest Daens,Tuesday
Faces,Sunday
Boys,Friday
The Quest,Friday
Cosi,Monday
Sunset Park,Friday
Mulholland Falls,Friday
The Truth About Cats & Dogs,Friday
Oliver & Company,Friday
Celtic Pride,Friday
Flipper,Friday
Captives,Tuesday
Of Love and Shadows,Tuesday
Dead Man,Saturday
The Horseman on the Roof,Wednesday
Switchblade Sisters,Sunday
Mouth to Mouth,Friday
The Visitors,Wednesday
Multiplicity,Friday
"The Haunted World of Edward D. Wood, Jr.",Wednesday
Two Friends,Wednesday
The Craft,Friday
The Great White Hype,Friday
Last Dance,Thursday
Cold Comfort Farm,Sunday
"Institute Benjamenta, or This Dream People Call Human Life",Tuesday
Heaven's Prisoners,Friday
Original Gangstas,Friday
The Rock,Thursday
Getting Away with Murder,Friday
Cemetery Man,Friday
Twister,Friday
Barb Wire,Thursday
Le Garçu,Tuesday
Honeymoon,Thursday
Ghost in the Shell,Saturday
Thinner,Friday
Spy Hard,Friday
Brothers in Trouble,Wednesday
A Close Shave,Sunday
Force of Evil,Saturday
The Stupids,Friday
The Arrival,Friday
The Man from Down Under,Wednesday
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Wednesday
Careful,Wednesday
A Month by the Lake,Monday
Gold Diggers: The Secret of Bear Mountain,Friday
Kim,Thursday
Carmen Miranda: Bananas Is My Business,Thursday
Ashes of Time,Friday
The Jar,Friday
Maya Lin: A Strong Clear Vision,Friday
Stalingrad,Thursday
The Phantom,Thursday
Striptease,Friday
The Last of the High Kings,Friday
Heavy,Friday
Jack,Friday
I Shot Andy Warhol,Wednesday
The Grass Harp,Sunday
Someone Else's America,Saturday
Life is Rosy,Tuesday
Quartier Mozart,Tuesday
Touki Bouki,Sunday
God's Gift,Friday
Spirits of the Dead,Thursday
Babyfever,Wednesday
Pharaoh's  Army,Sunday
Trainspotting,Friday
Til There Was You,Friday
Independence Day,Tuesday
Stealing Beauty,Friday
The Fan,Thursday
The Hunchback of Notre Dame,Friday
The Cable Guy,Monday
Kingpin,Thursday
Eraser,Friday
The Gate of Heavenly Peace,Sunday
The Nutty Professor,Wednesday
"I, the Worst of All",Thursday
An Unforgettable Summer,Sunday
A Hungarian Fairy Tale,Thursday
My Life and Times With Antonin Artaud,Friday
Midnight Dancers,Friday
Somebody to Love,Tuesday
A Very Natural Thing,Tuesday
The Old Lady Who Walked in the Sea,Wednesday
Daylight,Friday
The Frighteners,Thursday
Lone Star,Friday
Harriet the Spy,Wednesday
Phenomenon,Friday
Walking and Talking,Wednesday
She's the One,Monday
A Time to Kill,Wednesday
American Buffalo,Friday
Rendezvous in Paris,Wednesday
Alaska,Wednesday
Fled,Friday
Kazaam,Wednesday
Magic Hunter,Sunday
Larger Than Life,Thursday
A Boy Called Hate,Wednesday
Power 98,Friday
Two Deaths,Sunday
A Very Brady Sequel,Friday
Stefano Quantestorie,Wednesday
Death in the Garden,Friday
Hedd Wyn,Wednesday
La Collectionneuse,Thursday
Kaspar Hauser,Saturday
Regular Guys,Thursday
Diebinnen,Thursday
The Convent,Wednesday
The Adventures of Pinocchio,Friday
Joe's Apartment,Friday
The First Wives Club,Friday
Stonewall,Sunday
Ransom,Friday
High School High,Friday
Phat Beach,Friday
Foxfire,Friday
Chain Reaction,Friday
Matilda,Friday
Emma,Friday
The Crow: City of Angels,Thursday
House Arrest,Wednesday
Eyes Without a Face,Monday
Bordello of Blood,Friday
Lotto Land,Thursday
The Story of Xinghua,Wednesday
The Day the Sun Turned Cold,Saturday
Flirt,Thursday
The Big Squeeze,Friday
The Spitfire Grill,Friday
Escape from L.A.,Friday
Cyclo,Sunday
Basquiat,Friday
Tin Cup,Friday
Dingo,Sunday
The Ballad of Narayama,Sunday
Every Other Weekend,Tuesday
Mille bolle blu,Friday
Crows and Sparrows,Saturday
The Godfather,Tuesday
Maybe... Maybe Not,Wednesday
Police Story 3: Supercop,Saturday
Manny & Lo,Monday
Wife,Wednesday
Small Faces,Friday
Bound,Friday
Carpool,Friday
Death in Brunswick,Thursday
Kansas City,Friday
Gone Fishin',Friday
Lover's Knot,Friday
Vive L'Amour,Friday
Shadow of Angels,Saturday
Killer: A Journal of Murder,Friday
Nothing to Lose,Saturday
Project S,Thursday
Girls Town,Wednesday
Bye-Bye,Wednesday
The Relic,Friday
The Island of Dr. Moreau,Friday
First Kid,Friday
The Trigger Effect,Friday
Sweet Nothing,Thursday
Bogus,Friday
Bulletproof,Friday
Talk of Angels,Friday
The Land Before Time III: The Time of the Great Giving,Thursday
1-900,Thursday
Baton Rouge,Saturday
Halloween: The Curse of Michael Myers,Friday
Twelfth Night,Thursday
Mother Night,Friday
Liebelei,Friday
Venice,Tuesday
Wild Reeds,Thursday
For Whom the Bell Tolls,Monday
The Philadelphia Story,Thursday
Singin' in the Rain,Thursday
An American in Paris,Wednesday
Funny Face,Wednesday
Breakfast at Tiffany's,Thursday
Vertigo,Friday
Rear Window,Sunday
It Happened One Night,Thursday
Gaslight,Thursday
The Gay Divorcee,Friday
North by Northwest,Tuesday
The Apartment,Wednesday
Some Like It Hot,Wednesday
Charade,Thursday
Casablanca,Thursday
The Maltese Falcon,Tuesday
My Fair Lady,Wednesday
Sabrina,Tuesday
Roman Holiday,Wednesday
The Little Princess,Friday
Meet Me in St. Louis,Thursday
The Wizard of Oz,Tuesday
Gone with the Wind,Friday
My Favorite Year,Friday
Sunset Boulevard,Thursday
Citizen Kane,Wednesday
2001: A Space Odyssey,Wednesday
Golden Earrings,Wednesday
All About Eve,Thursday
The Women,Sunday
Rebecca,Friday
Foreign Correspondent,Friday
Notorious,Thursday
Spellbound,Friday
An Affair to Remember,Thursday
To Catch a Thief,Wednesday
Father of the Bride,Friday
The Band Wagon,Friday
Ninotchka,Friday
Love in the Afternoon,Sunday
Gigi,Tuesday
The Reluctant Debutante,Wednesday
The Adventures of Robin Hood,Friday
The Mark of Zorro,Friday
Laura,Wednesday
The Ghost and Mrs. Muir,Thursday
Lost Horizon,Wednesday
Top Hat,Friday
To Be or Not to Be,Thursday
My Man Godfrey,Thursday
Giant,Wednesday
East of Eden,Wednesday
The Thin Man,Friday
His Girl Friday,Thursday
Around the World in Eighty Days,Wednesday
It's a Wonderful Life,Friday
Mr. Smith Goes to Washington,Thursday
Bringing Up Baby,Friday
Penny Serenade,Thursday
The Scarlet Letter,Monday
Lady of Burlesque,Tuesday
Of Human Bondage,Friday
Angel on My Shoulder,Friday
Little Lord Fauntleroy,Friday
They Made Me a Criminal,Saturday
The Inspector General,Saturday
Angel and the Badman,Saturday
The 39 Steps,Saturday
A Walk in the Sun,Tuesday
The Outlaw,Friday
Night of the Living Dead,Tuesday
The African Queen,Monday
Beat the Devil,Tuesday
Cat on a Hot Tin Roof,Monday
The Last Time I Saw Paris,Friday
Meet John Doe,Wednesday
Algiers,Tuesday
Something to Sing About,Thursday
A Farewell to Arms,Thursday
Moonlight Murder,Friday
Nothing Personal,Friday
"Yes, Madam",Tuesday
Dangerous Ground,Wednesday
Picnic,Friday
Madagascar Skin,Thursday
The Pompatus of Love,Friday
Small Wonders,Sunday
Fly Away Home,Friday
Bliss,Monday
Grace of My Heart,Friday
Brother of Sleep,Friday
Maximum Risk,Friday
Michael Collins,Friday
The Rich Man's Wife,Friday
Infinity,Friday
Big Night,Friday
Last Man Standing,Friday
Caught,Wednesday
Set It Off,Wednesday
2 Days in the Valley,Wednesday
Curdled,Friday
L'associé,Wednesday
Ed's Next Move,Friday
Extreme Measures,Friday
The Glimmer Man,Friday
D3: The Mighty Ducks,Friday
The Chamber,Friday
The Apple Dumpling Gang,Tuesday
"Davy Crockett, King of the Wild Frontier",Wednesday
Escape to Witch Mountain,Friday
The Love Bug,Sunday
Herbie Rides Again,Thursday
Old Yeller,Wednesday
The Parent Trap,Monday
Pollyanna,Thursday
Homeward Bound: The Incredible Journey,Wednesday
The Shaggy Dog,Thursday
Swiss Family Robinson,Wednesday
That Darn Cat!,Thursday
"20,000 Leagues Under the Sea",Thursday
Cool Runnings,Thursday
Angels in the Outfield,Friday
Cinderella,Saturday
Winnie the Pooh and the Blustery Day,Friday
The Three Caballeros,Friday
The Sword in the Stone,Wednesday
So Dear to My Heart,Monday
Robin Hood: Prince of Thieves,Friday
Mary Poppins,Thursday
Dumbo,Wednesday
Pete's Dragon,Thursday
Bedknobs and Broomsticks,Thursday
Alice in Wonderland,Tuesday
The Fox and the Hound,Friday
Freeway,Friday
The Sound of Music,Tuesday
Die Hard,Friday
The Lawnmower Man,Thursday
Unhook the Stars,Wednesday
Synthetic Pleasures,Wednesday
The Secret Agent,Friday
Secrets & Lies,Friday
That Thing You Do!,Friday
To Gillian on Her 37th Birthday,Friday
Surviving Picasso,Wednesday
Love Is All There Is,Friday
Beautiful Thing,Friday
The Long Kiss Goodnight,Friday
The Ghost and the Darkness,Friday
Looking for Richard,Friday
Trees Lounge,Friday
The Proprietor,Monday
Normal Life,Friday
Get on the Bus,Wednesday
Shadow Conspiracy,Friday
Jude,Tuesday
Everyone Says I Love You,Friday
Bitter Sugar,Saturday
Romeo + Juliet,Thursday
Swingers,Friday
Sleepers,Friday
The Sunchaser,Wednesday
Johns,Tuesday
Aladdin and the King of Thieves,Monday
The Woman in Question,Monday
Shall We Dance,Friday
A Damsel in Distress,Friday
Crossfire,Tuesday
"Murder, My Sweet",Saturday
Macao,Wednesday
For the Moment,Friday
Willy Wonka & the Chocolate Factory,Tuesday
The Sexual Life of the Belgians,Friday
The Innocents,Monday
Sleeper,Monday
Bananas,Wednesday
A Fish Called Wanda,Friday
Life of Brian,Friday
Victor/Victoria,Sunday
The Candidate,Wednesday
The Great Race,Thursday
Bonnie and Clyde,Tuesday
The Old Man and the Sea,Tuesday
Dial M for Murder,Saturday
Madame Butterfly,Wednesday
Dirty Dancing,Friday
Reservoir Dogs,Wednesday
Platoon,Thursday
Weekend at Bernie's,Wednesday
Basic Instinct,Friday
The Doors,Friday
