title,release_year,popularity
Nico Icon,1995,0.13
The Crossing Guard,1995,5.76
The Juror,1996,6.01
The White Balloon,1995,1.2
Things to Do in Denver When You're Dead,1995,4.49
Antonia's Line,1995,2.03
Once Upon a Time... When We Were Colored,1996,0.25
Last Summer in the Hamptons,1995,0.53
Angels and Insects,1995,2.15
White Squall,1996,9.57
Dunston Checks In,1996,4.81
Black Sheep,1996,8.96
Nick of Time,1995,6.85
The Journey of August King,1995,0.41
Mary Reilly,1996,12.87
Vampire in Brooklyn,1995,9.07
Beautiful Girls,1996,4.67
Broken Arrow,1996,14.96
A Midwinter's Tale,1995,0.51
La Haine,1995,12.11
Shopping,1994,2.66
Heidi Fleiss: Hollywood Madam,1995,0.64
City Hall,1996,4.81
Bottle Rocket,1996,6.9
Mr. Wrong,1996,3.33
Unforgettable,1996,2.46
Happy Gilmore,1996,9.59
The Bridges of Madison County,1995,5.95
Nobody Loves Me,1994,1.02
Muppet Treasure Island,1996,6.9
Catwalk,1995,0.98
Headless Body in Topless Bar,1995,0.0
Braveheart,1995,20.76
Taxi Driver,1976,14.09
Rumble in the Bronx,1995,12.31
Before and After,1996,2.94
Margaret's Museum,1995,0.37
Happiness Is in the Field,1995,1.25
Anne Frank Remembered,1995,0.24
The Young Poisoner's Handbook,1995,6.18
If Lucy Fell,1996,2.89
Steal Big Steal Little,1995,1.52
Race the Sun,1996,1.32
The Boys of St. Vincent,1992,0.87
Boomerang,1992,6.51
Chungking Express,1994,6.78
The Star Maker,1995,1.7
Flirting with Disaster,1996,5.58
The Neverending Story III: Escape from Fantasia,1994,6.25
The Silences of the Palace,1994,0.41
Jupiter's Wife,1995,0.0
Pie in the Sky,1996,0.7
Angela,1995,2.2
Frankie Starlight,1995,0.64
Jade,1995,11.42
Nueba Yol,1995,0.29
Sonic Outlaws,1995,0.0
Down Periscope,1996,5.18
From the Journals of Jean Seberg,1995,0.28
Man of the Year,1995,0.54
The Neon Bible,1995,0.37
Target,1995,0.0
Up Close & Personal,1996,3.4
The Birdcage,1996,6.5
Virgin Mary,1995,0.92
The Brothers McMullen,1995,2.04
Bad Boys,1995,9.26
The Amazing Panda Adventure,1995,2.38
The Basketball Diaries,1995,7.42
An Awfully Big Adventure,1995,0.92
Amateur,1994,1.76
Apollo 13,1995,18.76
Rob Roy,1995,10.19
The Addiction,1995,3.14
Batman Forever,1995,13.32
Belle de Jour,1967,10.14
Beyond Rangoon,1995,2.04
Blue in the Face,1995,11.53
Canadian Bacon,1995,5.39
Casper,1995,12.81
Clockers,1995,4.56
Congo,1995,7.26
Crimson Tide,1995,8.66
Crumb,1994,3.62
Desperado,1995,6.95
Devil in a Blue Dress,1995,4.65
Die Hard: With a Vengeance,1995,15.14
The Doom Generation,1995,7.12
Feast of July,1995,0.52
First Knight,1995,15.18
Free Willy 2 - The Adventure Home,1995,7.58
Hackers,1995,14.81
Jeffrey,1995,3.2
Johnny Mnemonic,1995,11.72
Judge Dredd,1995,8.18
Jury Duty,1995,3.68
Kids,1995,4.88
Living in Oblivion,1995,10.06
Lord of Illusions,1995,4.1
Love & Human Remains,1993,0.35
Mad Love,1995,2.62
Mallrats,1995,8.26
Mighty Morphin Power Rangers: The Movie,1995,7.02
Moonlight and Valentino,1995,1.01
Mute Witness,1995,2.47
Nadja,1994,7.72
The Net,1995,13.3
Nine Months,1995,8.48
Party Girl,1995,1.17
The Prophecy,1995,10.19
Reckless,1995,0.12
Safe,1995,8.18
The Scarlet Letter,1995,6.75
The Show,1995,0.16
Showgirls,1995,17.5
Smoke,1995,5.55
Something to Talk About,1995,3.74
Species,1995,13.49
The Stars Fell on Henrietta,1995,0.91
Strange Days,1995,11.22
The Umbrellas of Cherbourg,1964,8.13
The Tie That Binds,1995,1.82
Three Wishes,1995,11.0
Total Eclipse,1995,4.55
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,7.65
Under Siege 2: Dark Territory,1995,7.49
Unstrung Heroes,1995,2.88
Unzipped,1995,0.79
A Walk in the Clouds,1995,9.72
Waterworld,1995,16.89
White Man's Burden,1995,1.83
Wild Bill,1995,8.92
The Browning Version,1994,3.73
Bushwhacked,1995,3.29
Burnt by the Sun,1994,2.49
Before the Rain,1994,3.53
Before Sunrise,1995,11.3
Billy Madison,1995,6.64
The Babysitter,1995,2.76
Boys on the Side,1995,3.03
The Cure,1995,2.69
Castle Freak,1995,2.27
Circle of Friends,1995,2.61
Clerks,1994,10.51
Don Juan DeMarco,1994,7.44
Disclosure,1994,11.81
Dream Man,1995,0.16
Drop Zone,1994,9.58
Destiny Turns on the Radio,1995,0.71
Death and the Maiden,1994,5.48
Dolores Claiborne,1995,5.8
Dumb and Dumber,1994,9.84
Eat Drink Man Woman,1994,4.86
Exotica,1994,5.38
Exit to Eden,1994,4.32
Ed Wood,1994,11.72
French Kiss,1995,9.15
Forget Paris,1995,16.24
Far from Home: The Adventures of Yellow Dog,1995,2.66
A Goofy Movie,1995,10.18
Hideaway,1995,8.18
Fluke,1995,4.95
Farinelli,1994,8.94
Gordy,1995,0.4
Gumby: The Movie,1995,0.09
The Glass Shield,1994,1.01
Hoop Dreams,1994,9.48
Heavenly Creatures,1994,9.44
Houseguest,1995,2.69
Immortal Beloved,1994,7.98
Heavyweights,1995,9.55
The Hunted,1995,2.76
I.Q.,1994,5.15
Interview with the Vampire,1994,11.97
Jefferson in Paris,1995,1.6
The Jerky Boys,1995,0.75
Junior,1994,6.71
Just Cause,1995,9.2
A Kid in King Arthur's Court,1995,5.87
Kiss of Death,1995,7.8
Star Wars,1977,42.15
Little Women,1994,9.77
A Little Princess,1995,7.73
Ladybird Ladybird,1994,0.85
L'Enfer,1994,1.95
Like Water for Chocolate,1992,4.13
Legends of the Fall,1994,12.2
Major Payne,1995,9.25
Little Odessa,1994,1.86
Mi Vida Loca,1994,1.79
Love Affair,1994,3.29
Losing Isaiah,1995,7.7
The Madness of King George,1994,4.81
Mary Shelley's Frankenstein,1994,14.29
Man of the House,1995,2.56
Mixed Nuts,1994,2.9
Milk Money,1994,3.77
Miracle on 34th Street,1994,5.83
Miami Rhapsody,1995,1.14
My Family,1995,3.12
Murder in the First,1995,9.52
Nobody's Fool,1994,2.89
Nell,1994,5.93
New Jersey Drive,1995,0.63
New York Cop,1993,0.0
Beyond Bedlam,1994,0.43
Nemesis 2 - Nebula,1995,1.47
Nina Takes a Lover,1995,0.77
Natural Born Killers,1994,11.23
Only You,1994,4.94
Once Were Warriors,1994,4.03
Poison Ivy II: Lily,1996,6.45
Outbreak,1995,13.68
Leon: The Professional,1994,20.48
The Perez Family,1995,1.43
A Pyromaniac's Love Story,1995,0.46
Pulp Fiction,1994,140.95
Panther,1995,7.16
Pushing Hands,1992,1.64
Priest,1994,1.88
Quiz Show,1994,7.77
Picture Bride,1995,1.3
Queen Margot,1994,4.41
The Quick and the Dead,1995,7.55
Roommates,1995,3.4
Prêt-à-Porter,1994,6.26
Three Colors: Red,1994,7.83
Three Colors: Blue,1993,8.84
Three Colors: White,1994,6.59
"Red Firecracker, Green Firecracker",1994,0.08
Rent-a-Kid,1995,1.16
Relative Fear,1995,0.5
Stuart Saves His Family,1995,1.39
The Swan Princess,1994,8.91
The Secret of Roan Inish,1994,1.75
The Specialist,1994,10.39
Stargate,1994,13.33
The Santa Clause,1994,9.67
The Shawshank Redemption,1994,51.65
Shallow Grave,1994,8.22
Suture,1993,1.3
Strawberry and Chocolate,1993,1.78
Swimming with Sharks,1994,5.87
The Sum of Us,1994,1.41
Senior Trip,1995,5.06
To Live,1994,5.26
Tank Girl,1995,7.6
Tales from the Crypt: Demon Knight,1995,9.46
Star Trek: Generations,1994,8.11
Tales from the Hood,1995,2.86
Tom & Viv,1994,0.7
Village of the Damned,1995,6.53
Tommy Boy,1995,11.97
Vanya on 42nd Street,1994,7.04
The Underneath,1995,2.06
The Walking Dead,1995,0.62
What's Eating Gilbert Grape,1993,10.39
Virtuosity,1995,5.19
While You Were Sleeping,1995,15.78
The War,1994,3.91
Double Happiness,1994,0.37
Muriel's Wedding,1994,5.25
The Baby-Sitters Club,1995,2.16
Ace Ventura: Pet Detective,1994,11.25
"The Adventures of Priscilla, Queen of the Desert",1994,8.33
Backbeat,1994,2.49
Bitter Moon,1992,11.3
Bullets Over Broadway,1994,5.72
Clear and Present Danger,1994,7.51
The Client,1994,15.26
"Corrina, Corrina",1994,6.92
Crooklyn,1994,2.53
The Crow,1994,15.8
Cobb,1994,2.58
The Flintstones,1994,15.02
Forrest Gump,1994,48.31
Four Weddings and a Funeral,1994,8.99
Higher Learning,1995,7.82
I Like It Like That,1994,0.29
I Love Trouble,1994,3.57
It Could Happen to You,1994,11.27
The Jungle Book,1994,10.71
"The Wonderful, Horrible Life of Leni Riefenstahl",1993,0.57
The Lion King,1994,21.61
Little Buddha,1993,5.68
New Nightmare,1994,9.86
The Mask,1994,14.13
Maverick,1994,15.05
Mrs. Parker and the Vicious Circle,1994,4.74
The Naked Gun 33⅓: The Final Insult,1994,10.59
The Paper,1994,4.01
Reality Bites,1994,6.51
Red Rock West,1993,5.14
Ri¢hie Ri¢h,1994,6.6
Safe Passage,1994,4.93
The River Wild,1994,10.51
Speed,1994,10.86
Speechless,1994,2.33
Timecop,1994,8.91
True Lies,1994,11.4
When a Man Loves a Woman,1994,4.32
Wolf,1994,14.06
Wyatt Earp,1994,9.28
Bad Company,1995,0.91
A Man of No Importance,1994,0.41
S.F.W.,1994,2.5
A Low Down Dirty Shame,1994,3.02
"Boys Life: Three Stories of Love, Lust, and Liberation",1994,0.05
Colonel Chabert,1994,0.93
"Faster, Pussycat! Kill! Kill!",1965,4.22
Jason's Lyric,1994,0.91
The Secret Adventures of Tom Thumb,1993,0.38
Street Fighter,1994,13.58
Coldblooded,1995,2.34
Desert Winds,1997,0.25
Fall Time,1995,1.11
The Fear,1995,0.27
Frank and Ollie,1995,0.14
Girl in the Cadillac,1995,0.41
Homage,1995,0.01
Mirage,1995,0.3
Open Season,1996,0.01
Dos Crímenes,1995,0.23
Brother Minister: The Assassination of Malcolm X,1995,0.04
Highlander: The Final Dimension,1994,6.87
Federal Hill,1995,0.1
In the Mouth of Madness,1994,8.5
8 Seconds,1994,1.89
Above the Rim,1994,4.38
Addams Family Values,1993,17.56
Martin Lawrence: You So Crazy,1994,0.39
The Age of Innocence,1993,8.01
Airheads,1994,7.09
The Air Up There,1994,1.9
Another Stakeout,1993,12.97
Bad Girls,1994,14.64
Barcelona,1994,1.63
Being Human,1994,2.78
The Beverly Hillbillies,1993,5.67
Beverly Hills Cop III,1994,11.79
Black Beauty,1994,8.4
Blink,1994,3.0
Blown Away,1994,13.16
Blue Chips,1994,6.13
Blue Sky,1994,4.99
Body Snatchers,1993,6.56
Boxing Helena,1993,4.3
A Bronx Tale,1993,6.12
Cabin Boy,1994,1.68
Calendar Girl,1993,1.32
Carlito's Way,1993,8.7
City Slickers II: The Legend of Curly's Gold,1994,8.61
Clean Slate,1994,2.72
Cliffhanger,1993,9.83
Coneheads,1993,10.72
Color of Night,1994,14.23
Cops & Robbersons,1994,7.04
The Cowboy Way,1994,4.29
Dangerous Game,1993,2.7
Dave,1993,13.7
Dazed and Confused,1993,6.87
Demolition Man,1993,11.63
The Endless Summer 2,1994,0.41
Even Cowgirls Get the Blues,1994,2.97
Fatal Instinct,1993,3.56
Farewell My Concubine,1993,4.88
The Favor,1994,1.34
Fearless,1993,9.28
Fear of a Black Hat,1994,0.99
With Honors,1994,2.97
Flesh and Bone,1993,1.9
Widows' Peak,1994,0.41
For Love or Money,1993,8.47
The Firm,1993,9.68
Free Willy,1993,5.99
Fresh,1994,3.97
The Fugitive,1993,10.09
Geronimo: An American Legend,1993,4.65
The Getaway,1994,14.21
Getting Even with Dad,1994,2.41
Go Fish,1994,0.78
A Good Man in Africa,1994,5.23
Guilty as Sin,1993,5.39
Hard Target,1993,7.83
Heaven & Earth,1993,4.19
Hot Shots! Part Deux,1993,13.48
Live Nude Girls,1995,2.14
The Englishman Who Went Up a Hill But Came Down a Mountain,1995,5.33
The House of the Spirits,1993,10.69
House Party 3,1994,1.0
The Hudsucker Proxy,1994,7.55
I'll Do Anything,1994,1.74
In the Army Now,1994,6.07
In the Line of Fire,1993,12.64
In the Name of the Father,1993,7.41
The Inkwell,1994,0.61
What's Love Got to Do with It,1993,14.82
Jimmy Hollywood,1994,4.56
Judgment Night,1993,5.54
Jurassic Park,1993,8.86
Kalifornia,1993,8.43
Killing Zoe,1993,4.95
King of the Hill,1993,4.38
Lassie,1994,3.65
Last Action Hero,1993,9.43
Life With Mikey,1993,6.45
Lightning Jack,1994,2.91
M. Butterfly,1993,6.52
Made in America,1993,5.43
Malice,1993,9.86
The Man without a Face,1993,6.0
Manhattan Murder Mystery,1993,8.94
Menace II Society,1993,5.26
Executive Decision,1996,13.11
In the Realm of the Senses,1976,8.93
What Happened Was...,1994,0.53
Much Ado About Nothing,1993,8.63
Mr. Jones,1993,6.58
Mr. Wonderful,1993,13.01
Mrs. Doubtfire,1993,11.17
Naked,1993,8.67
The Next Karate Kid,1994,9.97
The New Age,1994,0.6
No Escape,1994,9.72
North,1994,15.53
Orlando,1992,3.8
A Perfect World,1993,8.04
Philadelphia,1993,13.37
The Piano,1993,7.44
Poetic Justice,1993,6.97
The Program,1993,3.2
The Puppet Masters,1994,7.27
Radioland Murders,1994,8.51
The Ref,1994,5.87
The Remains of the Day,1993,12.22
Renaissance Man,1994,4.99
Rising Sun,1993,6.28
The Road to Wellville,1994,3.42
RoboCop 3,1993,8.69
Robin Hood: Men in Tights,1993,17.14
Romeo Is Bleeding,1993,9.8
Romper Stomper,1992,5.16
Ruby in Paradise,1993,0.94
Rudy,1993,5.91
The Saint of Fort Washington,1993,1.07
Savage Nights,1992,1.03
Schindler's List,1993,41.73
The Scout,1994,5.72
Searching for Bobby Fischer,1993,12.05
Second Best,1994,0.88
The Secret Garden,1993,6.5
Serial Mom,1994,5.31
The Shadow,1994,7.88
Shadowlands,1993,2.97
Short Cuts,1993,8.83
A Simple Twist of Fate,1994,4.14
Sirens,1993,2.86
Six Degrees of Separation,1993,8.73
Sleepless in Seattle,1993,10.23
Sliver,1993,11.23
Blade Runner,1982,96.27
Son in Law,1993,9.12
So I Married an Axe Murderer,1993,8.05
Striking Distance,1993,13.39
Harem,1985,1.83
Super Mario Bros.,1993,7.2
Surviving the Game,1994,3.64
Terminal Velocity,1994,8.01
Thirty Two Short Films About Glenn Gould,1993,0.87
Threesome,1994,10.82
The Nightmare Before Christmas,1993,17.73
The Three Musketeers,1993,6.35
Tombstone,1993,11.34
Trial by Jury,1994,0.86
True Romance,1993,17.19
The War Room,1993,1.27
The Pagemaster,1994,7.44
"Paris, France",1994,0.74
"The Beans of Egypt, Maine",1994,0.38
Killer,1994,0.42
Welcome to the Dollhouse,1995,5.14
Germinal,1993,2.76
Chasers,1994,9.85
Cronos,1993,5.51
Naked in New York,1993,0.45
Kika,1993,3.65
Bhaji on the Beach,1994,0.44
Little Big League,1994,1.96
The Slingshot,1993,1.76
Wide Eyed and Legless,1993,0.0
Foreign Student,1994,0.0
"Ciao, Professore!",1992,3.46
Spanking the Monkey,1994,2.8
The Little Rascals,1994,6.71
À la mode,1993,0.0
Andre,1994,3.14
The Escort,1993,0.05
Princess Caraboo,1994,1.94
The Celluloid Closet,1996,6.78
Café au Lait,1993,1.04
Dear Diary,1993,2.9
I Don't Want to Talk About It,1993,1.21
The Brady Bunch Movie,1995,4.23
Home Alone,1990,0.7
Ghost,1990,11.95
Aladdin,1992,16.36
Terminator 2: Judgment Day,1991,22.66
Dances with Wolves,1990,11.65
Tough and Deadly,1995,0.43
Batman,1989,19.11
The Silence of the Lambs,1991,4.31
Snow White and the Seven Dwarfs,1937,16.26
Beauty and the Beast,1991,23.43
Pinocchio,1940,14.2
Pretty Woman,1990,13.35
Window to Paris,1993,0.35
The Wild Bunch,1969,11.72
Love and a .45,1994,3.41
The Wooden Man's Bride,1994,0.09
A Great Day in Harlem,1994,0.08
Bye Bye Love,1995,2.47
One Fine Day,1996,7.01
Candyman: Farewell to the Flesh,1995,4.98
Century,1993,1.46
Fargo,1996,12.61
Homeward Bound II: Lost in San Francisco,1996,14.66
Heavy Metal,1981,7.64
Hellraiser: Bloodline,1996,5.26
The Pallbearer,1996,8.17
Jane Eyre,1996,2.42
Loaded,1996,0.62
Bread and Chocolate,1974,1.31
The Aristocats,1970,9.83
The Flower of My Secret,1995,2.29
Two Much,1996,1.62
Ed,1996,5.17
Scream of Stone,1991,0.74
My Favorite Season,1993,0.52
A Modern Affair,1996,0.17
Condition Red,1995,0.79
Halfaouine: Boy of the Terraces,1990,1.98
A Thin Line Between Love and Hate,1996,2.26
The Last Supper,1995,4.62
Primal Fear,1996,10.33
Rude,1995,0.07
Carried Away,1996,1.67
All Dogs Go to Heaven 2,1996,5.03
Land and Freedom,1995,6.14
Denise Calls Up,1995,0.47
Theodore Rex,1995,2.58
A Family Thing,1996,6.21
Frisk,1996,0.32
Sgt. Bilko,1996,5.71
Jack & Sarah,1995,1.52
Girl 6,1996,4.41
Diabolique,1996,4.53
"Little Indian, Big City",1994,4.73
Roula,1995,0.15
Peanuts – Die Bank zahlt alles,1996,0.07
Happy Weekend,1996,0.0
Nelly and Monsieur Arnaud,1996,1.78
Courage Under Fire,1996,11.6
Mission: Impossible,1996,15.79
Cold Fever,1995,0.49
Moll Flanders,1996,2.34
The Superwife,1996,0.82
"301, 302",1995,0.4
DragonHeart,1996,23.64
Und keiner weint mir nach,1996,0.44
My Mother's Courage,1995,0.62
Eddie,1996,3.09
Yankee Zulu,1993,1.56
Billy's Holiday,1995,0.0
Purple Noon,1960,3.8
August,1996,0.99
James and the Giant Peach,1996,13.22
Fear,1996,6.95
Kids in the Hall: Brain Candy,1996,2.3
Faithful,1996,1.3
Underground,1995,14.59
All Things Fair,1995,3.58
Bloodsport II,1996,3.09
Pather Panchali,1955,3.9
The World of Apu,1959,2.38
Mystery Science Theater 3000: The Movie,1996,2.99
Tarantella,1996,0.0
Space Jam,1996,11.05
Barbarella,1968,14.3
Hostile Intentions,1995,0.06
They Bite,1996,0.47
Some Folks Call It a Sling Blade,1994,0.46
The Run of the Country,1995,0.12
Alphaville,1965,4.66
Coup de Torchon,1981,2.27
Tigrero: A Film That Was Never Made,1994,0.18
The Eye of Vichy,1993,0.0
Windows,1980,0.4
It's My Party,1996,2.79
Country Life,1994,0.49
Operation Dumbo Drop,1995,4.36
The Promise,1995,0.12
Mrs. Winterbourne,1996,9.19
Solo,1996,1.9
Under The Domim Tree,1994,0.71
The Substitute,1996,10.69
True Crime,1996,1.22
Butterfly Kiss,1995,0.88
Feeling Minnesota,1996,10.3
Delta of Venus,1995,1.1
To Cross the Rubicon,1991,0.01
Angus,1995,2.25
Priest Daens,1992,0.76
Faces,1968,7.92
Boys,1996,1.58
The Quest,1996,7.94
Cosi,1996,0.95
Sunset Park,1996,1.23
Mulholland Falls,1996,5.79
The Truth About Cats & Dogs,1996,5.12
Oliver & Company,1988,10.81
Celtic Pride,1996,1.94
Flipper,1996,4.56
Captives,1994,1.93
Of Love and Shadows,1994,0.71
Dead Man,1995,6.51
The Horseman on the Roof,1995,1.69
Switchblade Sisters,1975,6.04
Mouth to Mouth,1995,1.13
The Visitors,1993,7.33
Multiplicity,1996,8.77
"The Haunted World of Edward D. Wood, Jr.",1996,0.04
Two Friends,2002,0.0
The Craft,1996,12.86
The Great White Hype,1996,3.32
Last Dance,1996,1.2
Cold Comfort Farm,1995,1.92
"Institute Benjamenta, or This Dream People Call Human Life",1995,0.54
Heaven's Prisoners,1996,9.26
Original Gangstas,1996,0.34
The Rock,1996,13.25
Getting Away with Murder,1996,0.75
Cemetery Man,1994,6.25
Twister,1996,8.74
Barb Wire,1996,5.88
Le Garçu,1995,0.13
Honeymoon,1996,0.65
Ghost in the Shell,1995,10.69
Thinner,1996,4.86
Spy Hard,1996,8.2
Brothers in Trouble,1995,0.59
A Close Shave,1995,6.8
Force of Evil,1948,4.39
The Stupids,1996,1.75
The Arrival,1996,6.5
The Man from Down Under,1943,0.07
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,9.8
Careful,1992,0.16
A Month by the Lake,1995,0.85
Gold Diggers: The Secret of Bear Mountain,1995,5.51
Kim,1950,1.05
Carmen Miranda: Bananas Is My Business,1995,0.15
Ashes of Time,1994,5.22
The Jar,1994,0.4
Maya Lin: A Strong Clear Vision,1995,0.0
Stalingrad,1993,7.67
The Phantom,1996,8.08
Striptease,1996,11.34
The Last of the High Kings,1996,1.43
Heavy,1995,0.89
Jack,1996,6.29
I Shot Andy Warhol,1996,2.77
The Grass Harp,1995,0.37
Someone Else's America,1995,0.1
Life is Rosy,1987,0.51
Quartier Mozart,1992,0.01
Touki Bouki,1973,0.04
God's Gift,1982,0.05
Spirits of the Dead,1968,1.79
Babyfever,1994,0.0
Pharaoh's  Army,1995,0.84
Trainspotting,1996,19.35
Til There Was You,1997,2.7
Independence Day,1996,17.63
Stealing Beauty,1996,6.42
The Fan,1996,12.2
The Hunchback of Notre Dame,1996,13.55
The Cable Guy,1996,7.59
Kingpin,1996,11.63
Eraser,1996,6.92
The Gate of Heavenly Peace,1995,0.11
The Nutty Professor,1996,9.65
"I, the Worst of All",1990,0.2
An Unforgettable Summer,1994,0.83
A Hungarian Fairy Tale,1987,0.04
My Life and Times With Antonin Artaud,1993,0.0
Midnight Dancers,1994,0.06
Somebody to Love,1994,0.97
A Very Natural Thing,1974,0.15
The Old Lady Who Walked in the Sea,1991,0.57
Daylight,1996,12.0
The Frighteners,1996,12.09
Lone Star,1996,9.07
Harriet the Spy,1996,4.09
Phenomenon,1996,5.58
Walking and Talking,1996,0.91
She's the One,1996,10.83
A Time to Kill,1996,13.31
American Buffalo,1996,7.03
Rendezvous in Paris,1995,0.23
Alaska,1996,2.32
Fled,1996,3.91
Kazaam,1996,8.96
Magic Hunter,1994,0.09
Larger Than Life,1996,3.52
A Boy Called Hate,1996,1.57
Power 98,1996,0.93
Two Deaths,1995,0.15
A Very Brady Sequel,1996,9.9
Stefano Quantestorie,1993,0.04
Death in the Garden,1956,1.12
Hedd Wyn,1992,0.27
La Collectionneuse,1967,1.68
Kaspar Hauser,1993,0.0
Regular Guys,1996,1.17
Diebinnen,1996,0.11
The Convent,1995,1.61
The Adventures of Pinocchio,1996,7.52
Joe's Apartment,1996,9.49
The First Wives Club,1996,10.18
Stonewall,1995,0.94
Ransom,1996,8.77
High School High,1996,4.22
Phat Beach,1996,0.88
Foxfire,1996,3.19
Chain Reaction,1996,15.87
Matilda,1996,10.03
Emma,1996,6.59
The Crow: City of Angels,1996,6.55
House Arrest,1996,12.3
Eyes Without a Face,1960,9.94
Bordello of Blood,1996,3.45
Lotto Land,1995,0.04
The Story of Xinghua,1994,0.0
The Day the Sun Turned Cold,1994,0.08
Flirt,1995,1.66
The Big Squeeze,1996,0.4
The Spitfire Grill,1996,1.2
Escape from L.A.,1996,12.23
Cyclo,1995,1.78
Basquiat,1996,4.8
Tin Cup,1996,6.25
Dingo,1991,0.12
The Ballad of Narayama,1958,0.97
Every Other Weekend,1990,0.63
Mille bolle blu,1993,0.04
Crows and Sparrows,1949,0.04
The Godfather,1972,41.11
Maybe... Maybe Not,1994,8.59
Police Story 3: Supercop,1992,6.75
Manny & Lo,1996,1.14
Wife,1953,0.1
Small Faces,1996,0.91
Bound,1996,12.45
Carpool,1996,3.71
Death in Brunswick,1990,0.91
Kansas City,1996,5.13
Gone Fishin',1997,2.29
Lover's Knot,1996,0.14
Vive L'Amour,1994,1.4
Shadow of Angels,1976,0.36
Killer: A Journal of Murder,1996,0.71
Nothing to Lose,1994,0.0
Project S,1993,1.26
Girls Town,1996,0.64
Bye-Bye,1995,0.11
The Relic,1997,7.7
The Island of Dr. Moreau,1996,12.73
First Kid,1996,6.51
The Trigger Effect,1996,9.03
Sweet Nothing,1995,0.23
Bogus,1996,2.52
Bulletproof,1996,7.86
Talk of Angels,1998,0.98
The Land Before Time III: The Time of the Great Giving,1995,6.37
1-900,1994,0.06
Baton Rouge,1988,0.44
Halloween: The Curse of Michael Myers,1995,8.77
Twelfth Night,1996,4.7
Mother Night,1996,6.04
Liebelei,1933,0.47
Venice,2010,0.15
Wild Reeds,1994,2.12
For Whom the Bell Tolls,1943,14.37
The Philadelphia Story,1940,8.89
Singin' in the Rain,1952,11.06
An American in Paris,1951,5.57
Funny Face,1957,5.46
Breakfast at Tiffany's,1961,10.88
Vertigo,1958,18.21
Rear Window,1954,17.91
It Happened One Night,1934,6.47
Gaslight,1944,14.55
The Gay Divorcee,1934,2.86
North by Northwest,1959,12.41
The Apartment,1960,11.99
Some Like It Hot,1959,11.85
Charade,1963,7.1
Casablanca,1942,13.92
The Maltese Falcon,1941,5.78
My Fair Lady,1964,12.49
Sabrina,1954,7.36
Roman Holiday,1953,11.95
The Little Princess,1939,5.64
Meet Me in St. Louis,1944,7.33
The Wizard of Oz,1939,22.06
Gone with the Wind,1939,14.24
My Favorite Year,1982,2.92
Sunset Boulevard,1950,11.71
Citizen Kane,1941,15.81
2001: A Space Odyssey,1968,22.49
Golden Earrings,1947,0.95
All About Eve,1950,12.06
The Women,1939,5.08
Rebecca,1940,8.59
Foreign Correspondent,1940,9.96
Notorious,1946,10.14
Spellbound,1945,5.48
An Affair to Remember,1957,9.81
To Catch a Thief,1955,5.49
Father of the Bride,1950,2.47
The Band Wagon,1953,3.57
Ninotchka,1939,5.12
