title,vote_count,vote_average
Gumby: The Movie,2,5.0
The Glass Shield,9,5.4
Hoop Dreams,91,7.7
Heavenly Creatures,299,6.9
Houseguest,17,6.0
Immortal Beloved,90,6.9
Heavyweights,97,6.0
The Hunted,25,6.0
I.Q.,112,5.9
Interview with the Vampire,1558,7.2
Jefferson in Paris,10,5.2
The Jerky Boys,10,4.8
Junior,381,4.7
Just Cause,124,6.0
A Kid in King Arthur's Court,40,4.3
Kiss of Death,83,5.7
Star Wars,6778,8.1
Little Women,222,7.0
A Little Princess,207,7.4
Ladybird Ladybird,14,7.4
L'Enfer,22,6.6
Like Water for Chocolate,70,6.6
Legends of the Fall,636,7.2
Major Payne,164,6.1
Little Odessa,31,6.4
Mi Vida Loca,9,5.7
Love Affair,11,4.3
Losing Isaiah,28,6.4
The Madness of King George,67,6.7
Mary Shelley's Frankenstein,272,6.1
Man of the House,40,5.1
Mixed Nuts,37,5.2
Milk Money,49,5.6
Miracle on 34th Street,199,6.4
Miami Rhapsody,7,5.6
My Family,11,7.0
Murder in the First,140,6.9
Nobody's Fool,56,7.0
Nell,128,6.1
New Jersey Drive,7,6.9
New York Cop,0,0.0
Beyond Bedlam,4,4.0
Nemesis 2 - Nebula,10,4.6
Nina Takes a Lover,4,7.4
Natural Born Killers,927,6.9
Only You,92,6.4
Once Were Warriors,106,7.6
Poison Ivy II: Lily,32,4.6
Outbreak,522,6.4
Leon: The Professional,4293,8.2
The Perez Family,9,6.6
A Pyromaniac's Love Story,2,7.0
Pulp Fiction,8670,8.3
Panther,6,6.4
Pushing Hands,9,6.1
Priest,32,6.4
Quiz Show,262,7.1
Picture Bride,5,7.4
Queen Margot,67,7.0
The Quick and the Dead,431,6.2
Roommates,7,6.4
Prêt-à-Porter,33,5.3
Three Colors: Red,246,7.8
Three Colors: Blue,311,7.7
Three Colors: White,218,7.3
"Red Firecracker, Green Firecracker",2,7.0
Rent-a-Kid,15,5.1
Relative Fear,3,4.7
Stuart Saves His Family,6,5.0
The Swan Princess,251,6.5
The Secret of Roan Inish,15,6.1
The Specialist,317,5.5
Stargate,942,6.8
The Santa Clause,501,6.3
The Shawshank Redemption,8358,8.5
Shallow Grave,247,7.0
Suture,7,6.0
Strawberry and Chocolate,16,7.1
Swimming with Sharks,104,6.7
The Sum of Us,21,6.0
Senior Trip,23,5.7
To Live,62,7.7
Tank Girl,140,5.5
Tales from the Crypt: Demon Knight,96,6.7
Star Trek: Generations,461,6.4
Tales from the Hood,33,5.4
Tom & Viv,8,5.8
Village of the Damned,165,5.6
Tommy Boy,321,6.8
Vanya on 42nd Street,15,6.1
The Underneath,15,5.6
The Walking Dead,4,6.6
What's Eating Gilbert Grape,943,7.5
Virtuosity,163,5.4
While You Were Sleeping,340,6.5
The War,39,6.3
Double Happiness,2,5.5
Muriel's Wedding,104,6.9
The Baby-Sitters Club,23,5.3
Ace Ventura: Pet Detective,1684,6.4
"The Adventures of Priscilla, Queen of the Desert",174,7.2
Backbeat,37,6.2
Bitter Moon,115,7.0
Bullets Over Broadway,130,7.0
Clear and Present Danger,390,6.4
The Client,287,6.4
"Corrina, Corrina",83,6.4
Crooklyn,31,6.7
The Crow,980,7.3
Cobb,29,6.1
The Flintstones,559,5.0
Forrest Gump,8147,8.2
Four Weddings and a Funeral,654,6.6
Higher Learning,49,6.4
I Like It Like That,4,6.3
I Love Trouble,41,5.3
It Could Happen to You,154,6.1
The Jungle Book,107,5.9
"The Wonderful, Horrible Life of Leni Riefenstahl",5,7.3
The Lion King,5520,8.0
Little Buddha,76,6.0
New Nightmare,297,6.4
The Mask,2550,6.6
Maverick,490,6.6
Mrs. Parker and the Vicious Circle,20,6.3
The Naked Gun 33⅓: The Final Insult,535,6.4
The Paper,40,6.1
Reality Bites,180,6.5
Red Rock West,71,6.4
Ri¢hie Ri¢h,426,5.4
Safe Passage,7,4.9
The River Wild,214,6.1
Speed,1814,6.8
Speechless,24,5.5
Timecop,288,5.5
True Lies,1138,6.8
When a Man Loves a Woman,71,6.0
Wolf,221,6.0
Wyatt Earp,203,6.5
Bad Company,12,4.9
A Man of No Importance,2,6.5
S.F.W.,22,6.1
A Low Down Dirty Shame,31,6.0
"Boys Life: Three Stories of Love, Lust, and Liberation",1,2.0
Colonel Chabert,9,5.9
"Faster, Pussycat! Kill! Kill!",59,6.5
Jason's Lyric,9,5.9
The Secret Adventures of Tom Thumb,8,7.1
Street Fighter,330,4.1
Coldblooded,13,6.7
Desert Winds,0,0.0
Fall Time,6,6.3
The Fear,7,3.4
Frank and Ollie,4,7.5
Girl in the Cadillac,1,10.0
Homage,0,0.0
Mirage,1,4.0
Open Season,0,0.0
Dos Crímenes,1,5.0
Brother Minister: The Assassination of Malcolm X,1,4.0
Highlander: The Final Dimension,110,4.5
Federal Hill,2,5.0
In the Mouth of Madness,307,7.1
8 Seconds,22,7.2
Above the Rim,40,6.7
Addams Family Values,537,6.5
Martin Lawrence: You So Crazy,4,4.5
The Age of Innocence,172,7.0
Airheads,222,5.8
The Air Up There,42,5.1
Another Stakeout,58,4.9
Bad Girls,61,4.6
Barcelona,20,6.6
Being Human,15,5.0
The Beverly Hillbillies,86,5.0
Beverly Hills Cop III,445,5.5
Black Beauty,68,6.6
Blink,45,6.3
Blown Away,126,6.0
Blue Chips,41,5.7
Blue Sky,28,6.1
Body Snatchers,102,5.8
Boxing Helena,59,4.5
A Bronx Tale,447,7.4
Cabin Boy,28,4.9
Calendar Girl,10,3.7
Carlito's Way,805,7.7
City Slickers II: The Legend of Curly's Gold,103,4.9
Clean Slate,25,5.7
Cliffhanger,600,6.1
Coneheads,228,4.8
Color of Night,117,5.4
Cops & Robbersons,36,5.0
The Cowboy Way,38,5.1
Dangerous Game,9,5.4
Dave,205,6.3
Dazed and Confused,588,7.4
Demolition Man,1018,6.4
The Endless Summer 2,12,7.1
Even Cowgirls Get the Blues,29,4.2
Fatal Instinct,37,5.4
Farewell My Concubine,98,7.8
The Favor,6,3.3
Fearless,80,6.8
Fear of a Black Hat,11,5.8
With Honors,54,6.1
Flesh and Bone,22,6.2
Widows' Peak,3,4.3
For Love or Money,77,5.7
The Firm,513,6.6
Free Willy,429,6.0
Fresh,56,7.6
The Fugitive,1240,7.2
Geronimo: An American Legend,44,5.9
The Getaway,81,5.4
Getting Even with Dad,43,4.5
Go Fish,5,3.9
A Good Man in Africa,11,5.2
Guilty as Sin,21,5.6
Hard Target,237,6.1
Heaven & Earth,51,6.4
Hot Shots! Part Deux,463,6.2
Live Nude Girls,12,4.7
The Englishman Who Went Up a Hill But Came Down a Mountain,83,6.1
The House of the Spirits,135,6.7
House Party 3,11,4.6
The Hudsucker Proxy,280,7.1
I'll Do Anything,18,5.7
In the Army Now,54,4.7
In the Line of Fire,392,6.8
In the Name of the Father,363,7.6
The Inkwell,5,3.9
What's Love Got to Do with It,75,6.9
Jimmy Hollywood,17,4.6
Judgment Night,79,6.4
Jurassic Park,4956,7.6
Kalifornia,209,6.5
Killing Zoe,111,6.1
King of the Hill,33,6.4
Lassie,54,6.1
Last Action Hero,725,6.1
Life With Mikey,24,5.1
Lightning Jack,40,5.7
M. Butterfly,35,6.6
Made in America,86,5.3
Malice,105,5.9
The Man without a Face,125,6.2
Manhattan Murder Mystery,169,7.1
Menace II Society,179,7.2
Executive Decision,261,5.8
In the Realm of the Senses,112,6.5
What Happened Was...,7,7.0
Much Ado About Nothing,194,7.2
Mr. Jones,35,5.9
Mr. Wonderful,11,5.5
Mrs. Doubtfire,1638,7.0
Naked,105,7.5
The Next Karate Kid,202,4.8
The New Age,5,4.8
No Escape,86,6.1
North,67,4.8
Orlando,53,6.7
A Perfect World,376,7.2
Philadelphia,1019,7.6
The Piano,290,7.1
Poetic Justice,47,6.9
The Program,28,6.0
The Puppet Masters,41,5.6
Radioland Murders,12,5.8
The Ref,99,6.7
The Remains of the Day,213,7.5
Renaissance Man,83,5.9
Rising Sun,188,5.8
The Road to Wellville,43,5.5
RoboCop 3,309,4.2
Robin Hood: Men in Tights,575,6.4
Romeo Is Bleeding,36,5.7
Romper Stomper,126,6.6
Ruby in Paradise,10,5.6
Rudy,187,7.2
The Saint of Fort Washington,5,4.0
Savage Nights,11,6.2
Schindler's List,4436,8.3
The Scout,37,5.3
Searching for Bobby Fischer,100,7.3
Second Best,8,5.9
The Secret Garden,232,7.1
Serial Mom,137,6.4
The Shadow,140,5.4
Shadowlands,61,6.8
Short Cuts,136,6.9
A Simple Twist of Fate,26,5.7
Sirens,31,5.2
Six Degrees of Separation,75,6.5
Sleepless in Seattle,630,6.5
Sliver,144,4.9
Blade Runner,3833,7.9
Son in Law,81,5.6
So I Married an Axe Murderer,131,6.1
Striking Distance,223,5.4
Harem,4,4.0
Super Mario Bros.,236,4.0
Surviving the Game,53,6.1
Terminal Velocity,82,5.0
Thirty Two Short Films About Glenn Gould,9,7.4
Threesome,57,6.3
The Nightmare Before Christmas,2135,7.6
The Three Musketeers,219,6.2
Tombstone,632,7.4
Trial by Jury,5,5.5
True Romance,762,7.5
The War Room,19,7.3
The Pagemaster,178,6.2
"Paris, France",2,6.0
"The Beans of Egypt, Maine",1,0.0
Killer,2,3.0
Welcome to the Dollhouse,103,6.9
Germinal,43,6.3
Chasers,22,4.7
Cronos,153,6.4
Naked in New York,3,4.0
Kika,58,6.8
Bhaji on the Beach,10,5.1
Little Big League,20,6.0
The Slingshot,10,6.2
Wide Eyed and Legless,0,0.0
Foreign Student,0,0.0
"Ciao, Professore!",74,7.2
Spanking the Monkey,29,5.3
The Little Rascals,214,6.3
À la mode,0,0.0
Andre,31,5.0
The Escort,5,5.0
Princess Caraboo,5,4.4
The Celluloid Closet,24,7.0
Café au Lait,4,6.8
Dear Diary,46,6.9
I Don't Want to Talk About It,1,6.0
The Brady Bunch Movie,87,5.9
Home Alone,2487,7.1
Ghost,1381,6.9
Aladdin,3495,7.4
Terminator 2: Judgment Day,4274,7.7
Dances with Wolves,1084,7.6
Tough and Deadly,4,6.3
Batman,2145,7.0
The Silence of the Lambs,4549,8.1
Snow White and the Seven Dwarfs,1973,6.9
Beauty and the Beast,3029,7.5
Pinocchio,1412,6.9
Pretty Woman,1807,7.0
Window to Paris,6,6.0
The Wild Bunch,266,7.7
Love and a .45,15,5.5
The Wooden Man's Bride,1,6.5
A Great Day in Harlem,2,7.0
Bye Bye Love,20,6.1
One Fine Day,160,6.1
Candyman: Farewell to the Flesh,64,5.0
Century,1,5.0
Fargo,2080,7.7
Homeward Bound II: Lost in San Francisco,105,6.0
Heavy Metal,150,6.3
Hellraiser: Bloodline,111,4.9
The Pallbearer,30,4.6
Jane Eyre,51,7.1
Loaded,3,4.0
Bread and Chocolate,10,7.1
The Aristocats,1287,7.1
The Flower of My Secret,43,6.9
Two Much,24,5.1
Ed,24,3.6
Scream of Stone,4,7.5
My Favorite Season,4,6.4
A Modern Affair,1,5.0
Condition Red,3,4.7
Halfaouine: Boy of the Terraces,5,7.4
A Thin Line Between Love and Hate,15,5.7
The Last Supper,82,6.5
Primal Fear,644,7.4
Rude,1,6.0
Carried Away,5,5.4
All Dogs Go to Heaven 2,50,5.0
Land and Freedom,53,7.0
Denise Calls Up,5,6.6
Theodore Rex,17,3.6
A Family Thing,14,5.6
Frisk,3,3.0
Sgt. Bilko,96,5.5
Jack & Sarah,10,5.1
Girl 6,17,5.7
Diabolique,74,5.4
"Little Indian, Big City",145,6.0
Roula,1,5.0
Peanuts – Die Bank zahlt alles,1,4.0
Happy Weekend,0,0.0
Nelly and Monsieur Arnaud,16,7.1
Courage Under Fire,240,6.2
Mission: Impossible,2677,6.7
Cold Fever,6,7.7
Moll Flanders,19,6.2
The Superwife,7,5.3
"301, 302",10,6.2
DragonHeart,553,6.4
Und keiner weint mir nach,0,0.0
My Mother's Courage,0,0.0
Eddie,46,5.4
Yankee Zulu,4,6.0
Billy's Holiday,0,0.0
Purple Noon,73,7.3
August,3,5.3
James and the Giant Peach,375,6.2
Fear,157,6.1
Kids in the Hall: Brain Candy,26,5.9
Faithful,4,4.8
Underground,143,7.5
All Things Fair,23,6.1
Bloodsport II,23,5.2
Pather Panchali,63,7.9
The World of Apu,40,8.2
Mystery Science Theater 3000: The Movie,71,7.0
Tarantella,0,0.0
Space Jam,1335,6.5
Barbarella,149,5.7
Hostile Intentions,1,8.0
They Bite,1,5.5
Some Folks Call It a Sling Blade,8,7.5
The Run of the Country,2,8.0
Alphaville,100,6.8
Coup de Torchon,21,6.8
Tigrero: A Film That Was Never Made,4,7.5
The Eye of Vichy,0,0.0
Windows,9,5.8
It's My Party,9,6.2
Country Life,1,8.0
Operation Dumbo Drop,37,4.7
The Promise,1,5.0
Mrs. Winterbourne,26,5.5
Solo,18,3.9
Under The Domim Tree,2,6.5
The Substitute,60,5.8
True Crime,7,5.1
Butterfly Kiss,5,7.4
Feeling Minnesota,29,5.5
Delta of Venus,5,3.3
To Cross the Rubicon,0,0.0
Angus,24,6.8
Priest Daens,15,6.7
Faces,36,7.1
Boys,11,5.3
The Quest,126,5.3
Cosi,9,7.1
Sunset Park,7,5.1
Mulholland Falls,73,6.2
The Truth About Cats & Dogs,86,5.7
Oliver & Company,372,6.5
Celtic Pride,35,4.9
Flipper,85,5.3
Captives,10,6.0
Of Love and Shadows,11,4.4
Dead Man,397,7.2
The Horseman on the Roof,25,6.7
Switchblade Sisters,27,6.6
Mouth to Mouth,5,5.5
The Visitors,433,7.1
Multiplicity,158,5.5
"The Haunted World of Edward D. Wood, Jr.",1,10.0
Two Friends,0,0.0
The Craft,388,6.3
The Great White Hype,29,5.1
Last Dance,9,5.6
Cold Comfort Farm,21,7.0
"Institute Benjamenta, or This Dream People Call Human Life",11,7.7
Heaven's Prisoners,17,5.0
Original Gangstas,5,5.5
The Rock,1474,6.9
Getting Away with Murder,6,5.5
Cemetery Man,105,7.0
Twister,966,6.1
Barb Wire,117,3.9
Le Garçu,1,5.0
Honeymoon,0,0.0
Ghost in the Shell,854,7.8
Thinner,125,5.5
Spy Hard,148,4.9
Brothers in Trouble,0,0.0
A Close Shave,223,7.5
Force of Evil,33,6.6
The Stupids,22,4.2
The Arrival,200,6.1
The Man from Down Under,0,0.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1472,8.0
Careful,4,7.8
A Month by the Lake,7,7.2
Gold Diggers: The Secret of Bear Mountain,20,5.8
Kim,5,7.0
Carmen Miranda: Bananas Is My Business,1,10.0
Ashes of Time,73,7.1
The Jar,3,8.0
Maya Lin: A Strong Clear Vision,0,0.0
Stalingrad,116,7.4
The Phantom,138,4.7
Striptease,210,4.4
The Last of the High Kings,15,5.7
Heavy,11,7.7
Jack,340,5.9
I Shot Andy Warhol,32,6.1
The Grass Harp,4,6.1
Someone Else's America,0,0.0
Life is Rosy,2,6.5
Quartier Mozart,1,5.0
Touki Bouki,10,7.3
God's Gift,1,5.0
Spirits of the Dead,24,5.5
Babyfever,0,0.0
Pharaoh's  Army,5,6.3
Trainspotting,2737,7.8
Til There Was You,4,3.9
Independence Day,3334,6.7
Stealing Beauty,99,6.6
The Fan,202,5.7
The Hunchback of Notre Dame,1182,6.8
The Cable Guy,603,5.7
Kingpin,248,6.7
Eraser,553,5.6
The Gate of Heavenly Peace,3,6.7
The Nutty Professor,717,5.4
"I, the Worst of All",3,6.8
An Unforgettable Summer,6,7.2
A Hungarian Fairy Tale,0,0.0
My Life and Times With Antonin Artaud,1,8.0
Midnight Dancers,1,7.0
Somebody to Love,2,5.1
A Very Natural Thing,3,6.3
The Old Lady Who Walked in the Sea,0,0.0
Daylight,385,5.8
The Frighteners,413,6.7
Lone Star,79,6.9
Harriet the Spy,47,5.7
Phenomenon,328,6.2
Walking and Talking,8,6.6
She's the One,71,5.7
A Time to Kill,522,7.0
American Buffalo,9,6.2
Rendezvous in Paris,4,6.5
Alaska,32,5.2
Fled,49,5.2
Kazaam,60,3.6
Magic Hunter,1,6.0
Larger Than Life,35,5.4
A Boy Called Hate,2,6.0
Power 98,1,4.0
Two Deaths,2,7.0
A Very Brady Sequel,42,5.8
Stefano Quantestorie,1,6.0
Death in the Garden,8,7.4
Hedd Wyn,2,6.5
La Collectionneuse,25,6.5
Kaspar Hauser,4,6.3
Regular Guys,9,5.2
Diebinnen,1,4.0
The Convent,6,6.5
The Adventures of Pinocchio,55,5.0
Joe's Apartment,87,5.0
The First Wives Club,172,6.5
Stonewall,10,7.2
Ransom,482,6.4
High School High,51,5.4
Phat Beach,8,5.4
Foxfire,30,6.3
Chain Reaction,291,5.3
Matilda,892,6.9
Emma,152,6.7
The Crow: City of Angels,119,5.2
House Arrest,32,5.0
Eyes Without a Face,130,7.5
Bordello of Blood,63,5.0
Lotto Land,1,7.0
The Story of Xinghua,0,0.0
The Day the Sun Turned Cold,2,7.0
Flirt,4,7.5
The Big Squeeze,1,5.0
The Spitfire Grill,17,6.8
Escape from L.A.,381,5.6
Cyclo,23,6.8
Basquiat,97,6.6
Tin Cup,152,5.9
Dingo,1,6.0
The Ballad of Narayama,12,6.4
Every Other Weekend,2,6.0
Mille bolle blu,1,6.0
Crows and Sparrows,1,5.0
The Godfather,6024,8.5
Maybe... Maybe Not,34,6.1
Police Story 3: Supercop,109,6.7
Manny & Lo,9,6.3
Wife,0,0.0
Small Faces,10,6.4
Bound,203,6.9
Carpool,17,4.9
Death in Brunswick,7,6.1
Kansas City,13,6.1
Gone Fishin',48,4.7
Lover's Knot,2,4.0
Vive L'Amour,16,7.3
Shadow of Angels,2,4.0
Killer: A Journal of Murder,10,6.3
Nothing to Lose,0,0.0
Project S,12,5.8
Girls Town,3,5.2
Bye-Bye,3,7.7
The Relic,130,5.8
The Island of Dr. Moreau,148,4.6
First Kid,28,5.3
The Trigger Effect,18,6.6
Sweet Nothing,2,5.0
Bogus,46,5.4
Bulletproof,164,5.4
Talk of Angels,4,6.8
The Land Before Time III: The Time of the Great Giving,86,6.1
1-900,1,5.0
Baton Rouge,0,0.0
Halloween: The Curse of Michael Myers,173,5.0
Twelfth Night,22,7.0
Mother Night,13,7.1
Liebelei,8,6.3
Venice,4,7.5
Wild Reeds,18,7.4
For Whom the Bell Tolls,41,6.1
The Philadelphia Story,196,7.7
Singin' in the Rain,747,7.9
An American in Paris,133,6.9
Funny Face,162,7.0
Breakfast at Tiffany's,1082,7.6
Vertigo,1162,8.0
Rear Window,1531,8.2
It Happened One Night,283,7.7
Gaslight,73,7.2
The Gay Divorcee,17,7.2
North by Northwest,1062,7.8
The Apartment,498,8.1
Some Like It Hot,835,8.0
Charade,351,7.7
Casablanca,1462,7.9
The Maltese Falcon,435,7.8
My Fair Lady,361,7.4
Sabrina,284,7.4
Roman Holiday,502,7.8
The Little Princess,22,7.0
Meet Me in St. Louis,66,6.8
The Wizard of Oz,1689,7.4
Gone with the Wind,995,7.7
My Favorite Year,35,7.1
Sunset Boulevard,533,8.2
Citizen Kane,1244,8.0
2001: A Space Odyssey,3075,7.9
Golden Earrings,3,4.8
All About Eve,367,8.0
The Women,26,6.4
Rebecca,346,7.7
Foreign Correspondent,86,7.0
Notorious,345,7.8
Spellbound,166,7.3
An Affair to Remember,101,7.1
To Catch a Thief,299,7.1
Father of the Bride,43,6.6
The Band Wagon,46,7.1
Ninotchka,77,7.3
Love in the Afternoon,55,7.3
Gigi,68,6.1
The Reluctant Debutante,11,6.6
The Adventures of Robin Hood,170,7.6
The Mark of Zorro,39,7.1
Laura,173,7.6
The Ghost and Mrs. Muir,59,7.3
Lost Horizon,42,6.8
Top Hat,62,7.4
To Be or Not to Be,119,7.7
My Man Godfrey,69,7.7
Giant,169,7.5
East of Eden,163,7.5
The Thin Man,97,7.4
His Girl Friday,171,7.5
Around the World in Eighty Days,85,6.5
It's a Wonderful Life,1103,8.0
Mr. Smith Goes to Washington,245,7.9
Bringing Up Baby,201,7.6
Penny Serenade,23,6.4
The Scarlet Letter,4,8.3
Lady of Burlesque,7,5.0
Of Human Bondage,26,6.4
Angel on My Shoulder,6,5.7
Little Lord Fauntleroy,13,6.6
They Made Me a Criminal,8,5.6
The Inspector General,17,6.2
Angel and the Badman,27,6.6
The 39 Steps,217,7.4
A Walk in the Sun,14,5.2
The Outlaw,16,4.9
Night of the Living Dead,591,7.5
The African Queen,232,7.4
Beat the Devil,31,6.2
Cat on a Hot Tin Roof,168,7.6
The Last Time I Saw Paris,9,5.1
Meet John Doe,52,7.3
Algiers,6,5.8
Something to Sing About,2,3.8
A Farewell to Arms,29,6.2
Moonlight Murder,1,6.0
Nothing Personal,1,4.0
"Yes, Madam",11,7.4
Dangerous Ground,8,5.0
Picnic,19,6.7
Madagascar Skin,0,0.0
The Pompatus of Love,2,5.3
Small Wonders,0,0.0
Fly Away Home,114,6.6
Bliss,6,4.8
Grace of My Heart,15,6.5
Brother of Sleep,6,6.8
Maximum Risk,104,5.3
Michael Collins,98,6.8
The Rich Man's Wife,11,4.9
Infinity,0,0.0
